doc_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
pope_benedict_xv__sacra_propediem,-8.722799079776902,-0.9669669753338075,-2.7741309639483456,1.0891386333609934,1.9162934121670292,-0.6778605542050247,-0.33455488881820833,0.21784538128949768,-0.7559603792453279,0.1369503268413249
pope_benedict_xv__spiritus_paraclitus,-10.668544742035843,-1.9108780825842209,-1.8559459783161214,3.1729210753769808,3.14300578228159,-1.2345555151309295,-0.7123130747394713,0.9016728178923725,-0.5056699895901929,-0.35806582053906866
pope_benedict_xvi__africae_munus,-11.97537272573145,-6.382632078028309,41.65336334407137,-7.039159586778521,-4.732804427863432,1.621800458597708,0.17803672788871513,1.7986000304922594,0.5088306192597415,-0.48454886254888435
pope_benedict_xvi__anglicanorum_coetibus,-5.106182065239059,0.32376592160885326,-1.5168577081057681,-0.7613876189451855,-1.3604273737952073,0.9430660667844072,-0.0542757319491203,-0.020997766345514115,1.2768614852266618,0.4506901124511645
pope_benedict_xvi__caritas_in_veritate,-19.85498823620997,-16.501272359552022,113.54341344336602,-23.10576193553624,-11.89418863408819,5.65151067899809,3.016852196520759,7.6670945777541455,1.0727126067291766,-1.6561052195572614
pope_benedict_xvi__complementary_norms_for_the_apostolic_constitution,-4.367804426711345,0.2949544028907741,-2.61583595982252,-1.2628628608306975,-1.3675372813981466,1.1868552328146975,-0.01596275837274176,-0.7097336928175005,1.8091941427624305,0.3569319810082271
pope_benedict_xvi__deus_caritas_est,-13.641874163984006,-5.382821701857341,40.98545068218368,-3.6679815209304154,-3.2361922114714607,0.4532277396931686,-0.1533597523903934,-0.6239336056970726,-0.4653129538668685,0.11066356263335866
pope_benedict_xvi__doctrinal_note_on_some_aspects_of_evangelization,-9.022872179918718,-2.2718600807793288,18.716504668076198,-2.1351071361448826,-2.623500489422279,0.6862288336324952,0.20622476178704252,-0.9981470209828799,0.4614497173743274,0.44596218941010063
pope_benedict_xvi__guide_to_understanding_basic_cdf_procedures_concer,-3.951361065255078,0.8884969417672645,-4.464794327019354,-1.4238030112875817,-0.9710156870984366,0.624694901739915,0.29428904261567496,0.2445036823249111,1.507604567704946,0.5271198085114306
pope_benedict_xvi__instruction_concerning_the_criteria_for_the_discer,-5.446023020220057,0.048348893753780604,4.616581384148249,-2.0641242017500665,-1.862411203469007,0.5623587101843976,0.19908491826656455,-1.282476091985973,1.0909836977832115,0.6065254410167418
pope_benedict_xvi__instruction_dignitas_personae_on_certain_bioethica,-13.523458708530779,-7.916013019355873,48.80500747355615,-11.062803473051812,-7.160027939137234,0.8378251963987708,-1.9813307980147612,-0.24498842009550886,8.090993211678903,1.4370130214184127
pope_benedict_xvi__instruction_on_the_application_of_the_apostolic_le,-4.5768030894197596,3.4489323870330084,-2.413964099756351,-3.55264452305584,0.1334136831677675,0.1395540480507591,-0.15562915968244567,-0.4417105015697297,1.790450167015631,0.359660299203712
