term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
abbess,-0.0002995218931700099,0.015028085488819579,0.0021277471012818273,0.02344966558406945,-0.0061980451247106595,-0.002739600275550501,-0.009366299805033904,0.052474366499038326,0.00254480343385277,-0.003045751064864138
abbey,-0.0008736838735234736,0.00020941628937060487,-0.0010938968946092643,0.0009840279409324226,0.0007958472065260141,6.203846516351099e-05,-0.0007723048829519623,3.3203543240415556e-05,0.0011799231800601788,-0.00026683948676601513
abbeys,-0.0009851855680943868,-0.00036327121377240134,-0.0018188945252205623,0.0002640847999853798,0.0015956874233064595,-5.567879140096507e-06,-0.0003974232324287204,0.0009733629897439836,0.0015637212579763114,-0.000633176251485441
abbia,0.020237414109586873,-0.002155740071835833,0.0012633644353233565,-0.0018446622739950029,-0.0010667071463153987,-0.0005578222694656254,0.002865823622177884,0.0035602584721082377,0.002854271351268134,-0.006407397852400444
abbiamo,0.029637925664263577,-0.0035408699588790277,0.0007532945044032055,-0.004518936986802444,-0.013269151997896465,-0.007164521421081783,0.0020431455590132863,0.0005644703754982338,-0.004362878202110605,-9.632007369886456e-05
abbiano,0.014806812232434895,-0.002024455940521522,-0.0009980365413766123,-0.005672424278218291,-0.019906675632707854,-0.009441988319455516,-0.0011495000659361195,0.0010481023527718306,-0.004077643699541959,-0.009631891303556754
abbiate,0.009008411632168966,-0.0011367856397722102,-0.0007591071912523834,-0.003491086003207358,-0.009677759165178552,-0.005053111748963622,0.006024811269399483,-0.0008248668253337912,-0.0060808901312644085,-0.0061251272991607935
abbondante,0.00814952440499819,-0.0012577142362059255,0.0005182058180315996,-0.0012537317571246563,-0.0033918262772316306,-0.004147396364672176,-0.004264559759779655,-0.0016289799333465168,-0.002433674856049521,-0.00629097900126363
abbondantemente,0.008900945118620742,-0.0019335578923761437,0.0009091332099863202,-0.0016115991981996568,-0.0051903401277664605,-0.006732062881589886,-0.005082119378544632,0.0016335075460646765,-0.01250172642419493,-0.003248335077009452
abbondanti,0.007944749074446587,-0.0011571865698775017,-0.0002046715251675017,-0.00299363630667656,-0.009566475018257152,-0.007079675614714326,-0.0021113141869914635,0.001370044438906352,-0.0033256336133636647,-0.003731572070080979
abbondanza,0.009503698484317888,-0.0013688028925613912,-0.0004889869924071413,-0.004279439689957185,-0.013675464516111678,-0.008340242379453725,-0.0007354045832756344,0.0018181374513853606,-0.0010187590015501718,-0.009916192311738488
abbot,-0.0027859522598191297,-0.0006235055931680858,-0.004743884832614593,0.0013455355136012656,0.0032793341606766864,-0.0002443646388601506,-0.0008261039614829244,0.0012050345484008814,0.002198663587601416,-0.0010373412711991866
abbots,-0.002130592980343937,-0.00018612707850575023,-0.005690834514362958,0.000801860523111944,0.002792507167418234,-5.9540734735854876e-05,-0.00043746211439494985,0.0015003883048189048,0.003113481808968494,-0.0010845408015809127
abbraccia,0.00831819397959303,-0.0016815865323447914,0.00021810326750150468,-0.0019116099819289141,-0.007999919728933413,-0.0059350198944532395,-0.0008207979506268345,0.0020147142156243247,-0.01116772988090542,-0.0017420758001344665
abbracciamo,0.007134896952103629,-0.0007639233293150415,5.709355198256025e-05,-0.0016179469837444276,-0.0037430836574938544,-0.004112895975769901,-0.002578846628993735,0.000832236615119234,0.0011012934921931525,0.004145271449848932
abbracciandovi,0.0060235535002863844,-0.0002728651187139638,0.0009546041934742423,0.002036576673675904,-0.0006415286290954081,-0.002762458284865365,-0.018632716582124502,-0.010841572914816154,-0.006491509324608572,0.03951664557444665
abbracciare,0.009205106813424369,-0.002009705408568488,0.001989772410907462,0.000717213321433805,0.006573027879330966,0.000790872484498939,0.006421883858880066,0.0018010058860019663,-8.615039491571655e-05,-0.005170542996638834
abbracciata,0.004013873657668829,2.6119770778377176e-06,-0.0003152897143398558,-0.0008806830734234713,-0.002650014085030994,-0.0015583798468999479,-0.003099705143360274,-0.0005030155618726869,-0.0006927162213340734,0.003983207879012375
abbracciate,0.007284498905822249,-0.0007022285377931442,0.0015284415907095938,0.0012573201833305475,0.0005069012712090061,-0.0019566322494901527,-0.008120236358615151,-0.0009545481334638509,-0.007652503794329656,-0.0011787601058493478
abbracciato,0.003144179450883449,-0.00033168681057610427,-0.0007166130004092446,-0.0014673560098528485,-0.0020119871547310143,-0.00071406959469666,0.0032339757189971422,0.0004572659863210235,0.0016672492611379199,-0.0012154316686795363
abbreviare,0.007561992760955799,-0.0015042151676405182,-0.0003977508361014636,-0.0043023810694189394,-0.008883945285135773,-0.0024902944498607694,0.00653888355435489,-0.0001742184401459239,0.002379737875976515,5.43685660181337e-05
abbreviating,-0.0008918732757195039,-0.0002069728757770515,-0.0007267355332133904,0.0004670947978905481,0.001278345307498778,-0.00012466029353166885,-0.0005030611534915807,0.00048067000335264915,0.001241150873455736,-0.00046405765297811345
abbreviations,-0.0011604843108861428,-0.000950835640559476,0.0069568989925553534,-0.0010670495045483244,-0.0008680951774227607,0.00023749432620474907,-0.00017153301433675013,-0.00021543107371651757,0.00036153369518942126,0.00020986094876214955
abdicate,-0.0008268496310840459,0.004348246119975713,-0.00020718116203992864,0.007377415303161154,-0.0015305221152206805,-0.0010625593806800804,-0.002811513848917557,0.01593838564919416,0.00046858627416353676,-0.0008794164041127954
abdicated,-0.0009718769210480006,-0.0005564001447073346,0.0007621797391564678,-1.1667642316827244e-05,0.0004869753101042186,-2.132456964012266e-05,-0.00023655559854722592,-0.00041895715681497455,-0.0002919764797554304,0.000170239046757007
