term_str,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
natural,0.0011706424,4.505046e-05,9.524959e-05,0.0005686181,4.414417e-06,6.600859e-05,2.604075e-05,7.38462e-05,1.5574073e-05,0.0012437983
encyclical,0.0011671117,8.9790134e-05,1.2353188e-07,0.000883522,1.322656e-05,3.1007792e-05,8.1667814e-08,4.86978e-06,8.138314e-08,0.00083003275
act,0.001166828,0.00015416153,0.00012356292,0.0020865325,0.0006804613,0.0016452904,0.001471526,0.00013113774,0.00075362145,0.00073377724
danger,0.0011615069,4.679361e-07,6.2738304e-06,0.00018098665,8.631496e-05,0.0001407017,7.818079e-05,3.395068e-05,0.00024008371,0.00030360473
practice,0.0011452644,1.623538e-05,2.4111832e-05,0.0008426937,0.0006019092,0.0008730596,6.620984e-05,0.0001499482,0.0001928483,0.0005587838
grace,0.0011451362,0.0010610663,6.2187e-05,0.001335905,0.002815788,6.0144265e-07,0.003531902,0.0009362218,0.0009262351,5.7053512e-08
devotion,0.0011449947,4.5975992e-07,1.4649641e-05,0.0004270077,0.00012570557,1.7909783e-06,0.00048245882,0.00089483906,8.177201e-08,5.690056e-08
hence,0.0011430269,1.6795743e-06,1.579894e-05,0.00059832365,8.72381e-05,6.907579e-05,4.037511e-05,1.8658795e-06,4.27628e-05,0.00012189891
part,0.0011342701,0.0007602263,0.0018506638,0.0016812201,0.001955734,0.0022251252,0.001241121,0.0017849925,0.0008788427,0.0026752464
form,0.001128227,4.6144745e-05,4.798055e-06,0.0024470368,0.0016822531,0.0016104917,0.0002698988,0.0006252358,0.00044105065,0.0026296708
keep,0.0011172616,7.735927e-06,0.00011934748,0.00042628002,0.00049727113,0.0007019363,0.0006553989,0.00067140127,0.0016610607,0.00037200327
letter,0.0011147801,0.0001275051,0.002389887,0.001310107,0.00026123293,0.0024743394,0.0006079486,0.00025621068,0.000185237,2.4503333e-05
union,0.0010991615,0.0008747937,0.00019706199,0.0011761371,0.00081669324,0.00047008545,0.00018442789,0.00033899618,2.5928082e-07,0.0003734394
xii,0.0010957043,8.1381484e-05,0.00015665103,0.00014905211,6.8582914e-08,0.0005271397,8.166642e-08,7.8557205e-05,8.1330384e-08,9.011001e-07
member,0.0010937041,0.00067648746,0.0025784338,0.0004393979,0.0022591965,0.0026638336,0.00013309748,0.0022461645,1.0149864e-05,0.0014151189
eternal,0.0010781813,4.5190405e-05,5.0015733e-05,0.0013002354,0.00026634958,2.444924e-07,0.0020436074,0.0001487978,7.0458746e-06,5.6946615e-08
office,0.0010717489,4.596708e-07,0.00083235383,6.2777126e-06,0.00020275159,0.004558926,6.8244935e-07,0.00052258436,8.664284e-05,7.147891e-05
write,0.0010700781,0.00013435054,8.553592e-05,0.0014596632,0.00017722326,0.0007710892,0.0006939939,0.0005750301,0.0006089091,0.00013639618
piety,0.0010609245,4.5966766e-07,5.889287e-07,0.00015953276,0.000109081564,0.00017842973,6.7761124e-05,0.00010492264,2.2639497e-06,5.6899246e-08
present,0.0010599347,0.00017264936,0.0016628202,0.002416779,0.0016549741,0.0027347433,0.0022073046,0.0027418616,0.0008356458,0.0016937335
often,0.0010582727,3.7104634e-05,1.367984e-07,0.0007743796,0.0007646421,3.744544e-05,0.00031400827,0.00039622092,0.0018107843,0.0017517345
purpose,0.0010564296,8.310276e-05,0.00016828236,0.00046873983,0.00032543507,0.0017256221,3.9744253e-05,3.1721956e-05,3.9517618e-05,0.00047998453
glory,0.0010555685,0.00018263419,2.7126842e-07,0.0002886144,0.00040374717,6.252705e-07,0.0023689747,9.17616e-05,8.526373e-08,5.690612e-08
rather,0.0010520593,1.8109728e-05,1.259013e-07,0.0010067684,0.0001761581,0.00028428025,0.00020531,2.1511956e-05,0.0012612288,0.0007222099
always,0.0010505306,6.736178e-05,0.0018823248,0.0016264756,0.0019388846,0.0010511065,0.0008748326,0.0025649192,0.0053409548,0.001324668
finally,0.0010467067,1.9717212e-05,0.00031602758,0.00031211352,0.00014094933,0.0006383914,0.00027557436,0.00010356533,0.00029385762,0.00023385347
