doc_id,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
pope_benedict_xiv__quam_ex_sublimi,0.00010080714376688885,0.0001008074015267914,0.00010080891738740727,0.00010080693223216799,0.00010080836768769469,0.999092730855215,0.00010080811076292809,0.00010080807576387776,0.0001008068473108021,0.0001008073483465822
pope_benedict_xiv__quam_grave,5.007600741285801e-05,5.007572171199954e-05,5.007580251210572e-05,5.00755638589903e-05,5.0075689819648435e-05,0.9995493188447104,5.0075491253887474e-05,5.007556088430244e-05,5.0075485952187626e-05,5.0075831883725016e-05
pope_benedict_xiv__quamvis_paternae,0.00011990939412288752,0.00011990808188226704,0.00011990670394796783,0.00011990526332153889,0.00011990731335615708,0.9989208321521362,0.00011990810358528487,0.00011990528425378284,0.00011990512330196454,0.00011991258009189089
pope_benedict_xiv__quanta_cura,0.1621966845566485,0.0002451823493920053,0.00024516749752917836,0.00024515538355190106,0.00024516088891862807,0.0002451039647373192,0.3098968221842028,0.0376456593244733,0.00024518444482802323,0.4887898794057183
pope_benedict_xiv__quemadmodum_nihil,0.0001545601699739046,0.0001545603715142047,0.00015456022202258005,0.00015456125434019482,0.00015455982719692326,0.9986089545021344,0.00015456141794441348,0.0001545616667355629,0.00015456033647423791,0.0001545602316635579
pope_benedict_xiv__quemadmodum_preces,0.00016077341210929904,0.00016077367226244343,0.00016077308952624873,0.00016077277950341307,0.0001607752476480921,0.9985530381235699,0.00016077359846976971,0.00016077242755623922,0.00016077291039948163,0.00016077473895524498
pope_benedict_xiv__quod_provinciale,0.048891523092306335,0.00019768540451089192,0.00019769650987118054,0.00019768322331682256,0.00019768509538045873,0.00019763477505245133,0.46516897545897534,0.00019769651303857766,0.00019768919846914034,0.48455573072907887
pope_benedict_xiv__satis_vobis_compertum,6.844671173150591e-05,6.844677430158081e-05,6.84466733101684e-05,6.84467049516492e-05,6.844666329208571e-05,0.9993839797842865,6.844666265918149e-05,6.844655417939252e-05,6.844649763233436e-05,6.844697365558536e-05
pope_benedict_xiv__ubi_primum,0.0973697813285053,0.00010042688893546963,0.00010042981957860722,0.0001004297238288565,0.0071958368024549494,0.00010040235346812248,0.6891822985707462,0.022203011454552547,0.0001004346172719175,0.18354694844065816
pope_benedict_xiv__vix_pervenit,0.00011077740845378926,0.0001107752811292817,0.16001051980532952,0.0001107672397693525,0.1801325134057279,0.0001107424570168889,0.13060393938245282,0.00011077064343447273,0.00011076599742367467,0.5285884283792623
pope_benedict_xv__ad_beatissimi_apostolorum,3.642612599822144e-05,0.03183689447403187,0.14374509179520875,0.05351444949180163,0.15561171196166526,3.6421277908629014e-05,0.607122449291276,0.005972423298806057,3.642556067779202e-05,0.0020877067226258215
pope_benedict_xv__annus_iam_plenus,0.00014666422246052685,0.09505332203863433,0.00014666037839681777,0.0001466725656089228,0.036479667728924886,0.00014662819430430647,0.732077327682112,0.13550972031662614,0.00014666665053635986,0.00014667022239572556
pope_benedict_xv__fausto_appetente_die,0.01333375482519002,0.00011114180682150813,0.03128768249268731,0.00011114039379469571,0.00011114141375807735,0.00011111482751246547,0.593796606667466,0.30410045529262175,0.0001111482085581141,0.05692581407159004
pope_benedict_xv__humani_generis_redemptionem,5.113916859965317e-05,5.113752032550329e-05,0.1942794938972705,0.08537238918586751,0.039014145742476455,5.1126083637748086e-05,0.5477807591511972,0.03611291820840733,5.113947397604048e-05,0.0972357515682422
pope_benedict_xv__in_hac_tanta,0.01097224821532639,6.893350363408571e-05,6.893569375115341e-05,0.13083526559657868,6.893487627904954e-05,6.892032362447674e-05,0.4943462741575267,0.08596613566751299,6.893735500995933e-05,0.27753541461075654
pope_benedict_xv__in_praeclara_summorum,8.593477966952258e-05,0.007418614385002348,0.28690551830445227,0.048990446235067125,8.593573220566376e-05,0.00504327386296642,0.4086577088662829,0.21653204103382306,8.593153661497415e-05,0.026194595263915762
pope_benedict_xv__pacem__dei_munus_pulcherrimum,7.290209875224748e-05,0.0661623217340626,0.00922963590817178,0.10671894778424117,0.05254926474370144,7.288663635856248e-05,0.6588100823190244,0.021459413216611878,7.290453450817433e-05,0.08485164102456784
pope_benedict_xv__paterno_iam_diu,0.00028417286619101195,0.13645914806565018,0.0002841637082491202,0.00028417170925613017,0.04918885357401634,0.0002840919544656279,0.7812331794235454,0.00028416988009923527,0.00028416097606194453,0.031413887842465175
pope_benedict_xv__principi_apostolorum_petro,0.11642075658269749,5.366317773292088e-05,0.004543496649770576,5.366438099008932e-05,0.04237274438827113,5.3648361998586054e-05,0.27194398742166254,0.4481671697589989,0.011175537858554763,0.10521533141932317
pope_benedict_xv__quod_iam_diu,0.0004526241341480462,0.1443405108590425,0.00045262651630313607,0.00045262092530894393,0.0004526026821640213,0.0004524928895937582,0.7522198428413314,0.000452626194567359,0.0004526264199817749,0.10027142653755915
pope_benedict_xv__sacra_propediem,7.676961300960591e-05,0.09633449742513346,0.11446841056817053,7.676909983737147e-05,0.009554583254972882,7.678031789569704e-05,0.3584780947759547,0.36566900316638234,7.6768102990681e-05,0.05518832367565272
pope_benedict_xv__spiritus_paraclitus,1.8655355507274813e-05,1.865457448615488e-05,0.10064467929199453,0.14700009614334508,0.3596331515189135,1.8649924013064838e-05,0.1983562886059524,0.13156935781021561,1.8654315993977103e-05,0.06272181245957842
pope_benedict_xvi__africae_munus,7.783815472025967e-06,0.24458641348818214,7.783568224047032e-06,0.1077064240360426,0.001477494719136589,7.781718764178647e-06,0.0665518968089853,0.0037013020108920226,0.575945336097477,7.783736824013492e-06
pope_benedict_xvi__anglicanorum_coetibus,0.7185224970497974,0.0001197884308650738,0.00011979302396864419,0.00011979273936207868,0.000119799893523355,0.00011976154730402736,0.0001197929057743997,0.0001197988304992954,0.28051918470094034,0.00011979087796544416
pope_benedict_xvi__caritas_in_veritate,7.136113173159214e-06,0.885599965604543,0.03824000979625218,0.04077099953494221,7.136271150003375e-06,7.134720205714675e-06,7.136121469228021e-06,7.136054569990973e-06,0.035346209708476434,7.136075218110714e-06
