term_str,doc_id
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_05051888_in_plurimis_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_05091895_adiutricem_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_06011886_iampridem_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_06011895_longinqua_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_08091892_magnae_dei_matris_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_08091899_depuis_le_jour_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_08121892_inimica_vis_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_10011890_sapientiae_christianae_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_15051891_rerum_novarum_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_16021892_au_milieu_des_sollicitudes_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_18011901_graves_de_communi_re_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_18840420_humanum_genus_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_19031894_caritatis_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_20061888_libertas_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_20111901_urbanitatis_veteris_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_21041878_inscrutabili_dei_consilio_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_22081886_quod_multum_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_22111902_quae_ad_nos_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_24061893_ad_extremas_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_25101893_non_mediocri_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_25121888_exeunte_iam_anno_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_28121878_quod_apostolici_muneris_html
labor,vatican__leo-xiii__en__encyclicals_documents_hf_l_xiii_enc_30091880_grande_munus_html
labor,vatican__leo-xiv__en__angelus_2025_documents_20250706_angelus_html
labor,vatican__leo-xiv__en__apost_exhortations_documents_20251004_dilexi_te_html
labor,vatican__leo-xiv__en__audiences_2025_documents_20251220_udienza_giubilare_html
