term_str,pre_mean,post_mean
allocutions,8.077292120753237e-05,0.0
allotted,4.9208290263823035e-05,6.334463623247651e-06
allow,0.00024079237798627944,0.0001303511910017533
allowed,0.0002784950168270953,0.00011838226518340864
allowing,4.501151459299686e-05,0.00014610279732911772
allows,5.046159117457941e-05,7.234782087005967e-05
allthe,0.0,1.2655411124180181e-05
allude,3.772916758923012e-05,6.705295771352267e-06
alluded,9.327414665809985e-06,4.6562750088583015e-05
alludes,2.374483483320425e-06,2.9419484938040996e-06
alluding,3.5400305359322774e-06,5.902012221556202e-06
allure,1.3135093762554873e-06,4.674653490765722e-06
allurements,7.619334388884964e-05,7.2481522221474735e-06
alluring,9.110711474463451e-07,6.959132802146662e-06
allusion,1.5046176274075544e-06,5.0015461262523024e-06
allusions,3.6965355278197978e-06,1.9960263095801037e-06
ally,2.5561626746512715e-05,1.4907043335145844e-05
alma,0.0,0.0
almighty,0.00021422424669663437,5.1379264951394934e-05
almost,0.0004035761066258113,0.00016092703764292027
alms,0.0002616891081997731,3.3724843672048494e-05
almsgiving,0.00010772875107538981,1.2411787677701359e-05
aloft,1.5563202539596036e-05,6.917777868120562e-06
alojzije,0.0,0.0
alone,0.00035611258580041,0.00031526971760763257
along,0.00014250064748857433,0.00018127128398349798
alongside,2.9982755072408508e-06,8.537657151247061e-05
aloof,2.7373376915770713e-05,2.369818033034041e-06
aloud,4.281916845592282e-05,3.7508807481959804e-05
aloysius,1.0041298775252834e-05,0.0
alpha,1.545174610254667e-06,2.6021863504494132e-05
alphabet,5.279504924517957e-06,2.1978481946157453e-05
alphonsus,2.3903403958602278e-05,8.22284738425704e-06
alpine,0.0,0.0
alps,2.8553123071368014e-05,0.0
already,0.0005653450263917463,0.0004604607330448573
also,0.000427381110355155,0.0005062788575286232
alsoa,0.0,1.6152500380617228e-05
alsothe,0.0,1.889021423687045e-05
altar,0.00023106175969871555,0.00012566504719676075
altars,6.618694782679794e-05,1.0903132782207198e-05
alter,4.2398757311673885e-05,5.5758051958042615e-05
alteration,2.8937309948514243e-05,4.162609727063807e-05
altered,2.283690195868659e-05,1.6849588684117265e-05
altering,0.0,1.0574728305250813e-05
alternate,8.589235605275803e-06,5.831310354668074e-06
alternating,6.5443060715279e-07,3.717649057678603e-06
alternative,1.2845245969908791e-05,3.422374712460414e-05
alternatives,1.8249316480237802e-06,1.1431227083326545e-05
although,0.0005354391385072019,0.00027350526216373875
altogether,0.0002335761169151058,5.720120279788514e-05
altruism,1.6707690331042626e-05,3.0633221800270055e-06
altum,2.5390062229174515e-06,2.952058981865242e-05
altötting,0.0,1.291288031077136e-05
alumni,0.0,5.058480868732668e-06
always,0.00027078115812811764,0.0003638438798678363
amateur,0.0,0.0
amato,0.0,0.00027726400878424
